"3","1765836545189-325534624-2",\N,"1765649478569-891341182","1765736034578-1005852192","2","93ml","33","33","33","33","33","33","33","33","evening","active","2025-12-16 01:09:16","2025-12-16 01:09:16"
"5","1765904123129-279143255-1",\N,"1765649478569-891341182","1765764384562-1005852192","1","5.00l","0","0","0","0","0","0","0","0","morning","active","2025-12-16 20:23:05","2025-12-16 20:23:05"
"6","1765904208598-1072486652-1",\N,"1765649478569-891341182","1765765924324-181506292","1","3.5l","0","0","0","0","0","0","0","0","morning","active","2025-12-16 20:23:05","2025-12-16 20:23:05"
"7","1765904265488-526207589-1",\N,"1765649478569-891341182","1765738482933-1005852192","1","2.00l","0","0","0","0","0","0","0","0","morning","active","2025-12-16 20:23:05","2025-12-16 20:23:05"
"8","1765904320559-674806673-1",\N,"1765649478569-891341182","1765738301735-1005852192","1","1.5l","0","0","0","0","0","0","0","0","morning","active","2025-12-16 20:23:05","2025-12-16 20:23:05"
"9","1765904440526-499777460-1",\N,"1765649478569-891341182","1765737750060-1005852192","1","2.5l","0","0","0","0","0","0","0","0","morning","active","2025-12-16 20:23:05","2025-12-16 20:23:05"
"10","1765904486252-748017357-1",\N,"1765649478569-891341182","1765737612501-1005852192","1","3.00l","0","0","0","0","0","0","0","0","morning","active","2025-12-16 20:23:05","2025-12-16 20:23:05"
"11","1765904543790-820205887-1",\N,"1765649478569-891341182","1765736227116-1005852192","1","2.00l","0","0","0","0","0","0","0","0","morning","active","2025-12-16 20:23:05","2025-12-16 20:23:05"
"12","1765904662661-545878703-1",\N,"1765649478569-891341182","1765736612497-1005852192","1","2.5l","0","0","0","0","0","0","0","0","morning","active","2025-12-16 20:23:05","2025-12-16 20:23:05"
"13","1765905009667-178418082-1",\N,"1765649478569-891341182","1765736803268-1005852192","1","2.5l","0","0","0","0","0","0","0","0","morning","active","2025-12-16 20:23:05","2025-12-16 20:23:05"
"14","1765905072614-105408125-1",\N,"1765649478569-891341182","1765737474297-1005852192","1","2.5l","0","0","0","0","0","0","0","0","morning","active","2025-12-16 20:23:05","2025-12-16 20:23:05"
"15","1765905150658-304433647-1",\N,"1765649478569-891341182","1765737142511-1005852192","1","2.5l","0","0","0","0","0","0","0","0","morning","active","2025-12-16 20:23:05","2025-12-16 20:23:05"
"16","1765905213940-517287950-1",\N,"1765649478569-891341182","1765737336206-1005852192","1","2.00l","0","0","0","0","0","0","0","0","morning","active","2025-12-16 20:23:05","2025-12-16 20:23:05"
"17","1765911076754-677385686-2",\N,"1765649478569-891341182","1765765559320-1005852192","2","5l",\N,\N,\N,\N,\N,\N,\N,\N,"morning","active","2025-12-16 21:51:32","2025-12-16 21:51:32"
"18","1765910919426-936242801-1",\N,"1765649478569-891341182","1765907213619-1005852192","1","3.00l","0","0","0","0","0","0","0","0","morning","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"19","1765935068113-936242801-1",\N,"1765649478569-891341182","1765907213619-1005852192","1","2.00l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"20","1765910987505-1072486652-1",\N,"1765649478569-891341182","1765765924324-181506292","1","2.5l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"21","1765911096345-279143255-1",\N,"1765649478569-891341182","1765764384562-1005852192","1","3.5l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"22","1765911162182-526207589-1",\N,"1765649478569-891341182","1765738482933-1005852192","1","1.5l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 04:37:25","2025-12-17 09:14:21"
"23","1765911247526-674806673-1",\N,"1765649478569-891341182","1765738301735-1005852192","1","1.5l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"24","1765911313435-516599508-1",\N,"1765649478569-891341182","1765738128976-1005852192","1","1.5l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"25","1765911384063-499777460-1",\N,"1765649478569-891341182","1765737750060-1005852192","1","1.5l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"26","1765911450048-748017357-1",\N,"1765649478569-891341182","1765737612501-1005852192","1","2.00l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"27","1765911512721-105408125-1",\N,"1765649478569-891341182","1765737474297-1005852192","1","2.00l","0","0","0","0","0","0","0","0","evening","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"28","1765911606147-304433647-1",\N,"1765649478569-891341182","1765737142511-1005852192","1","2.00l","0","0","0","0","0","0","0..-",\N,"evening","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"29","1765911757916-517287950-1",\N,"1765649478569-891341182","1765737336206-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"evening","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"30","1765935144058-820205887-1",\N,"1765649478569-891341182","1765736227116-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"evening","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"31","1765935214331-545878703-1",\N,"1765649478569-891341182","1765736612497-1005852192","1","1.00l","0","0","0","0","0","0","0",\N,"evening","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"32","1765935275133-178418082-1",\N,"1765649478569-891341182","1765736803268-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"evening","active","2025-12-17 04:37:25","2025-12-17 04:37:25"
"34","1765948430937-936242801-1",\N,"1765649478569-891341182","1765907213619-1005852192","1","2.5l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-17 08:15:53","2025-12-17 08:15:53"
"35","1765945894437-1072486652-1",\N,"1765649478569-891341182","1765765924324-181506292","1","3.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-17 08:15:53","2025-12-17 08:15:53"
"36","1765945938591-279143255-1",\N,"1765649478569-891341182","1765764384562-1005852192","1","5.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-17 08:15:53","2025-12-17 08:15:53"
"37","1765945993676-526207589-1",\N,"1765649478569-891341182","1765738482933-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-17 08:15:53","2025-12-17 08:15:53"
"38","1765946041866-674806673-1",\N,"1765649478569-891341182","1765738301735-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-17 08:15:53","2025-12-17 08:15:53"
"39","1765946291552-499777460-1",\N,"1765649478569-891341182","1765737750060-1005852192","1","2.5l","0","0","0","0","0","0","0","0","morning","active","2025-12-17 08:15:53","2025-12-17 08:15:53"
"40","1765946349959-748017357-1",\N,"1765649478569-891341182","1765737612501-1005852192","1","2.5l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-17 08:15:53","2025-12-17 08:15:53"
"41","1765948161986-105408125-1",\N,"1765649478569-891341182","1765737474297-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-17 08:15:53","2025-12-17 08:15:53"
"42","1765948206785-517287950-1",\N,"1765649478569-891341182","1765737336206-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-17 08:15:53","2025-12-17 08:15:53"
"43","1765948248081-304433647-1",\N,"1765649478569-891341182","1765737142511-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-17 08:15:53","2025-12-17 08:15:53"
"44","1765948296416-178418082-1",\N,"1765649478569-891341182","1765736803268-1005852192","1","2.5l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-17 08:15:53","2025-12-17 08:15:53"
"45","1765948348337-545878703-1",\N,"1765649478569-891341182","1765736612497-1005852192","1","2.00l","0","0","0","0","0","0","0",\N,"morning","active","2025-12-17 08:15:53","2025-12-17 08:15:53"
